Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
124673-110,10-07-2023,For Sale,Villa,,3 + 2,200 m2,,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,2,,,Empty,,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    6.925.000 TRY
                  "
135461-691,18-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,3. Floor,10 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Unspecified,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Develi,Reşadiye,"
                    1.275.000 TRY
                  "
137456-36,05-08-2023,For Sale,Apartment,Daire,3 + 1,120 m2,10. Floor,35 at Age,Combi Boiler,10 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,,"South, East",,,,Kayseri,Melikgazi,Selimiye,"
                    1.020.000 TRY
                  "
138804-21,05-08-2023,For Sale,Apartment,,3 + 1,175 m2,14. Floor,New Property,Central,14 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,,,,,Kayseri,Melikgazi,Battalgazi,"
                    1.890.000 TRY
                  "
99212-2392,21-07-2023,For Sale,Apartment,Daire,2 + 1,130 m2,Middle Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Condominium,,,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.349.000 TRY
                  "
138969-1,22-07-2023,For Sale,Apartment,Daire,2 + 1,127 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"North, East",7.000 TRY,Gas,Yes,Kayseri,Develi,Bahçelievler,"
                    1.000.000 TRY
                  "
124543-291,25-07-2023,For Sale,Apartment,Daire,2 + 1,110 m2,Middle Floor,20 at Age,Combi Boiler,6 Storey,Available,,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,,,Gas,Yes,Kayseri,Kocasinan,Yavuz Selim,"
                    1.075.000 TRY
                  "
110035-102,22-06-2023,For Sale,Villa,,3 + 1,400 m2,,New Property,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Hacılar,Beğendik,"
                    3.750.000 TRY
                  "
4453-7821,17-07-2023,For Sale,Villa,Tripleks,7 + 2,390 m2,Triplex,21 at Age,No Heating,3 Storey,Not Available,Not Furnished,2,,Second Hand,Empty,,,No,,,,Yes,Kayseri,Talas,Yukarı,"
                    7.500.000 TRY
                  "
131402-198,09-06-2023,For Sale,Detached House,Müstakil Ev,6 + 3,250 m2,,25 at Age,Heating Stove,2 Storey,Unknown,Not Furnished,3,,Second Hand,Unspecified,Land,,No,,,,Yes,Kayseri,Melikgazi,Kazımkarabekir,"
                    1.600.000 TRY
                  "
124546-407,10-05-2023,For Sale,Apartment,,3 + 1,175 m2,3. Floor,16 at Age,Combi Boiler,6 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Argıncık,"
                    1.480.000 TRY
                  "
125486-1452,05-08-2023,For Sale,Apartment,,3 + 1,175 m2,10. Floor,New Property,Central,11 Storey,Not Available,Not Furnished,1,,,Empty,Floor Easement,,No,"South, East, West",,,,Kayseri,Melikgazi,Esentepe,"
                    1.950.000 TRY
                  "
134958-264,14-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,4. Floor,3 at Age,Central Heating (Share Meter),7 Storey,Available,Not Furnished,1,Reinforced Concrete,,Tenanted,,,No,"South, East",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.415.000 TRY
                  "
122419-1617,25-07-2023,For Sale,Apartment,Daire,3 + 1,120 m2,Top Floor,New Property,Combi Boiler,4 Storey,Not Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, East",,Gas,,Kayseri,Develi,Feneseaşağı,"
                    1.500.000 TRY
                  "
129256-57,29-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,2. Floor,15 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,,,,Gas,,Kayseri,Kocasinan,Argıncık,"
                    1.175.000 TRY
                  "
128489-124,03-07-2023,For Sale,Apartment,Daire,2 + 1,110 m2,6. Floor,2 at Age,Central Heating (Share Meter),14 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,South,4.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.525.000 TRY
                  "
134967-140,01-08-2023,For Sale,Apartment,,3 + 1,160 m2,7. Floor,16 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, South, West",,,,Kayseri,Melikgazi,Battalgazi,"
                    920.000 TRY
                  "
132363-381,12-07-2023,For Sale,Apartment,,4 + 1,225 m2,1. Floor,5 at Age,Central,12 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"South, East, West",,,,Kayseri,Melikgazi,Esenyurt,"
                    2.730.000 TRY
                  "
132875-307,31-07-2023,For Sale,Apartment,Daire,3 + 1,130 m2,Middle Floor,3 at Age,Central Heating (Share Meter),7 Storey,Available,Furnished,1,Reinforced Concrete,,Tenanted,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.470.000 TRY
                  "
84609-2862,05-06-2023,For Sale,Apartment,Daire,3 + 1,180 m2,10. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,"North, South",,Gas,Yes,Kayseri,Kocasinan,Sancaktepe,"
                    2.050.000 TRY
                  "
91207-2530,02-08-2023,For Sale,Villa,,5 + 1,550 m2,Garden Floor,New Property,Combi Boiler,2 Storey,Available,Not Furnished,3,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Altınoluk,"
                    8.900.000 TRY
                  "
129301-339,20-05-2023,For Sale,Apartment,Daire,3 + 1,110 m2,Middle Floor,40 at Age,Heating Stove,3 Storey,Unknown,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,15 TRY,No,"South, East",2.000 TRY,Coal-Wood,Yes,Kayseri,Kocasinan,Sahabiye,"
                    975.000 TRY
                  "
