Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
132642-68,02-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,1. Floor,20 at Age,Combi Boiler,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,150 TRY,No,"South, East, West",,Gas,Yes,Kayseri,Melikgazi,Aydınlıkevler,"
                    1.700.000 TRY
                  "
131150-137,26-07-2023,For Sale,Detached House,Müstakil Ev,3 + 1,865 m2,,30 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,Stone Building,Second Hand,Empty,Land,1 TRY,No,,,Coal-Wood,,Kayseri,Melikgazi,Tavlusun,"
                    1.800.000 TRY
                  "
121417-852,24-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,1. Floor,15 at Age,Central,5 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,100 TRY,No,"North, East",3.000 TRY,Gas,Yes,Kayseri,Kocasinan,Kocasinan,"
                    875.000 TRY
                  "
96602-1065,23-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Top Floor,5 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,300 TRY,No,"South, East, West",5.000 TRY,Gas,Yes,Kayseri,Kocasinan,Zümrüt,"
                    1.730.000 TRY
                  "
692459-316,21-05-2023,For Sale,Apartment,Daire,2 + 1,110 m2,1. Floor,1 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,,,,"North, South, West",,Gas,Yes,Kayseri,Develi,Feneseaşağı,"
                    1.750.000 TRY
                  "
74578-485,13-07-2023,For Sale,Apartment,,7 + 2,350 m2,5. Floor,13 at Age,Floor Heater,6 Storey,Not Available,,3,,,Owner,,,No,,,,,Kayseri,Kocasinan,Argıncık,"
                    3.500.000 TRY
                  "
124673-152,03-08-2023,For Sale,Detached House,,4 + 1,250 m2,Garden Floor,31 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Yunusemre,"
                    2.500.000 TRY
                  "
0-40893622,07-06-2023,For Sale,Apartment,,3 + 1,110 m2,4. Floor,31 at Age,Central,8 Storey,Not Available,Not Furnished,1,,,Tenanted,Condominium,,No,South,,,,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1.000.000 TRY
                  "
0-41063012,27-07-2023,For Sale,Apartment,Daire,3 + 1,190 m2,1. Floor,7 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,,400 TRY,No,"South, East",,Gas,,Kayseri,Kocasinan,Yakut,"
                    2.450.000 TRY
                  "
128406-82,31-07-2023,For Sale,Apartment,Daire,2 + 1,115 m2,3. Floor,20 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,1 TRY,No,"North, East",3.500 TRY,Gas,,Kayseri,Develi,Alpaslan,"
                    875.000 TRY
                  "
123778-546,02-08-2023,For Sale,Detached House,,2 + 1,100 m2,Garden Floor,26 at Age,Combi Boiler,2 Storey,Not Available,Not Furnished,1,,,Empty,,,No,,,,,Kayseri,Melikgazi,Gesi,"
                    1.650.000 TRY
                  "
99212-2311,19-07-2023,For Sale,Apartment,Çatı Dubleksi,5 + 1,210 m2,Terrace,New Property,Combi Boiler,6 Storey,Available,Not Furnished,2,,0,Empty,,,No,"East, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    2.599.000 TRY
                  "
4453-7880,15-07-2023,For Sale,Apartment,Daire,4 + 1,255 m2,1. Floor,2 at Age,Central Heating (Share Meter),11 Storey,Not Available,Not Furnished,2,,0,Empty,,,No,,,,Yes,Kayseri,Melikgazi,Köşk,"
                    6.500.000 TRY
                  "
120649-403,28-07-2023,For Sale,Detached House,Müstakil Ev,3 + 1,175 m2,,20 at Age,Combi Boiler,1 Storey,Unknown,Not Furnished,2,,,,,,No,,,,,Kayseri,Develi,Reşadiye,"
                    4.000.000 TRY
                  "
91207-2553,25-07-2023,For Sale,Apartment,,3 + 1,165 m2,5. Floor,5 at Age,Combi Boiler,12 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"North, South, East",,,,Kayseri,Melikgazi,Esenyurt,"
                    1.820.000 TRY
                  "
4594-358,24-06-2023,For Sale,Villa,Dubleks,5 + 1,1.200 m2,,14 at Age,Central,2 Storey,Available,Not Furnished,3,Reinforced Concrete,Second Hand,Empty,Condominium,1.500 TRY,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Erenköy,"
                    20.777.000 TRY
                  "
138804-63,05-08-2023,For Sale,Detached House,,3 + 1,140 m2,Garden Floor,16 at Age,Heating Stove,2 Storey,Not Available,Not Furnished,3,,,Tenanted,Condominium,,No,South,,,,Kayseri,Melikgazi,Selçuklu,"
                    1.650.000 TRY
                  "
138969-50,26-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,3. Floor,10 at Age,Combi Boiler,4 Storey,Unknown,Not Furnished,1,Reinforced Concrete,Second Hand,Unspecified,Floor Easement,,No,"South, East",6.000 TRY,Gas,Yes,Kayseri,Develi,Harman,"
                    1.750.000 TRY
                  "
136977-33,05-08-2023,For Sale,Apartment,Daire,2 + 1,130 m2,2. Floor,30 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,,Tenanted,Floor Easement,,No,South,,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    720.000 TRY
                  "
100242-422,28-07-2023,For Sale,Apartment,,3 + 1,175 m2,6. Floor,11 at Age,Combi Boiler,14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Talas,Bahçelievler,"
                    1.850.000 TRY
                  "
125486-1449,05-08-2023,For Sale,Villa,,9 + 1,1.000 m2,Garden Floor,2 at Age,Combi Boiler,2 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Erenköy,"
                    27.500.000 TRY
                  "
84609-3039,27-07-2023,For Sale,Apartment,,3 + 1,175 m2,5. Floor,8 at Age,Central Heating (Share Meter),11 Storey,Available,,2,,,,,,,,,,,Kayseri,Melikgazi,Kazımkarabekir,"
                    1.975.000 TRY
                  "
73912-2148,05-08-2023,For Sale,Villa,,3 + 1,200 m2,Garden Floor,2 at Age,Combi Boiler,2 Storey,Not Available,Not Furnished,2,,,Tenanted,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    4.700.000 TRY
                  "
129301-46,09-06-2023,For Sale,Apartment,,3 + 1,185 m2,11. Floor,4 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, East",,,,Kayseri,Kocasinan,Yakut,"
                    1.900.000 TRY
                  "
136193-7,02-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,Terrace,5 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,325 TRY,No,"North, South, East, West",5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Fatih,"
                    2.000.000 TRY
                  "
76658-511,17-05-2023,For Sale,Apartment,Daire,3 + 1,185 m2,4. Floor,8 at Age,Combi Boiler,10 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Owner,Condominium,150 TRY,No,"North, South, East",6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Barbaros,"
                    2.150.000 TRY
                  "
75931-1805,24-07-2023,For Sale,Detached House,Müstakil Ev,2 + 1,150 m2,,25 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,,,,"North, East, West",,Gas,Yes,Kayseri,Develi,Fatih,"
                    1.250.000 TRY
                  "
132642-70,03-08-2023,For Sale,Apartment,Daire,3 + 1,170 m2,4. Floor,17 at Age,Combi Boiler,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,200 TRY,No,"South, East, West",,Gas,Yes,Kayseri,Melikgazi,Aydınlıkevler,"
                    1.900.000 TRY
                  "
65701-848,26-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,10. Floor,25 at Age,Central,11 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,,,No,"South, West",,Gas,Yes,Kayseri,Melikgazi,Esenyurt,"
                    1.570.000 TRY
                  "
128470-470,05-08-2023,For Sale,Apartment,,3 + 1,175 m2,13. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, East",,,,Kayseri,Talas,Mevlana,"
                    2.000.000 TRY
                  "
87047-1123,03-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,9. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, East, West",,Gas,Yes,Kayseri,Kocasinan,Yenişehir,"
                    2.730.000 TRY
                  "
138411-1,24-07-2023,For Sale,Apartment,,2 + 1,138 m2,17. Floor,New Property,Central Heating (Share Meter),18 Storey,Available,Not Furnished,2,,,Empty,Condominium,111 TRY,No,"North, West",,,,Kayseri,Kocasinan,Sahabiye,"
                    2.075.000 TRY
                  "
120038-452,27-07-2023,For Sale,Apartment,,5 + 2,280 m2,1. Floor,3 at Age,Central Heating (Share Meter),15 Storey,Available,Furnished,2,,,Owner,Condominium,,No,"South, East, West",,,,Kayseri,Kocasinan,Yavuz Selim,"
                    3.000.000 TRY
                  "
692460-1130,10-07-2023,For Sale,Apartment,Daire,3 + 1,200 m2,1. Floor,2 at Age,Combi Boiler,4 Storey,Not Available,Not Furnished,2,,Second Hand,Empty,,,No,,,Gas,Yes,Kayseri,Develi,Bahçelievler,"
                    1.650.000 TRY
                  "
692459-338,21-05-2023,For Sale,Apartment,Dubleks,2 + 1,110 m2,5. Floor,3 at Age,Combi Boiler,5 Storey,Unknown,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,,"North, South, East, West",,Gas,,Kayseri,Develi,Harman,"
                    1.049.000 TRY
                  "
131846-755,02-08-2023,For Sale,Apartment,,3 + 1,140 m2,Ground Floor,21 at Age,Combi Boiler,3 Storey,Not Available,Not Furnished,1,,,Owner,Condominium,,No,"South, East, West",,,,Kayseri,Melikgazi,Keykubat,"
                    860.000 TRY
                  "
123456-322,30-07-2023,For Sale,Apartment,,3 + 1,185 m2,8. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    2.400.000 TRY
                  "
0-40971762,18-06-2023,For Sale,Apartment,Daire,3 + 1,150 m2,2. Floor,25 at Age,Central,8 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, East, West",6.000 TRY,Gas,,Kayseri,Kocasinan,Yeni,"
                    1.500.000 TRY
                  "
96602-1106,03-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Middle Floor,15 at Age,Central,7 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,300 TRY,No,"North, West",5.000 TRY,Gas,Yes,Kayseri,Kocasinan,Ziyagökalp,"
                    1.370.000 TRY
                  "
138754-17,21-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,Top Floor,7 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Floor Easement,,,,6.000 TRY,Gas,,Kayseri,Yahyalı,Seydili,"
                    2.500.000 TRY
                  "
99212-2484,25-07-2023,For Sale,Apartment,Dubleks,4 + 1,210 m2,3. Floor,8 at Age,Combi Boiler,5 Storey,Available,Not Furnished,3,Reinforced Concrete,Second Hand,Empty,Condominium,,No,North,,Gas,Yes,Kayseri,Develi,Yeni,"
                    2.419.000 TRY
                  "
18531-4221,22-07-2023,For Sale,Apartment,,3 + 1,110 m2,5. Floor,21 at Age,Combi Boiler,5 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,"North, West",,,,Kayseri,Melikgazi,Tınaztepe,"
                    1.060.000 TRY
                  "
131025-295,20-07-2023,For Sale,Apartment,Daire,2 + 1,110 m2,1. Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,Under Construction,Empty,,,,,,Gas,,Kayseri,Develi,Yeni,"
                    1.250.000 TRY
                  "
91207-2556,25-07-2023,For Sale,Apartment,,3 + 1,165 m2,11. Floor,3 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"South, West",,,,Kayseri,Melikgazi,Battalgazi,"
                    1.850.000 TRY
                  "
138804-106,05-08-2023,For Sale,Apartment,,3 + 1,135 m2,1. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,,,Empty,Floor Easement,,No,,,,,Kayseri,İncesu,Karamustafapaşa,"
                    1.825.000 TRY
                  "
138969-55,03-08-2023,For Sale,Apartment,,4 + 1,165 m2,1. Floor,1 at Age,Combi Boiler,4 Storey,Available,Not Furnished,2,,,,,,,,,,,Kayseri,Develi,Mustafa Asım Köksal,"
                    2.200.000 TRY
                  "
134622-8,19-07-2023,For Sale,Apartment,,4 + 1,190 m2,Middle Floor,3 at Age,Central,14 Storey,Available,,2,,,,,,,,,,,Kayseri,Talas,Mevlana,"
                    2.500.000 TRY
                  "
124724-236,04-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,3. Floor,10 at Age,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,100 TRY,No,"South, East, West",5.000 TRY,Gas,Yes,Kayseri,Kocasinan,Turgut Reis,"
                    1.450.000 TRY
                  "
4453-7874,04-07-2023,For Sale,Villa,Dubleks,4 + 1,250 m2,2. Floor,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,3,,0,Empty,,,No,"North, South, East, West",,,Yes,Kayseri,Melikgazi,Altınoluk,"
                    8.500.000 TRY
                  "
79192-561,30-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Top Floor,40 at Age,Central,7 Storey,Unknown,Not Furnished,1,,Second Hand,Tenanted,,,,,,Gas,,Kayseri,Melikgazi,Gülük,"
                    1.230.000 TRY
                  "
0-34078501,01-08-2023,For Sale,Detached House,Müstakil Ev,2 + 1,100 m2,,1 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,,0,Owner,,,No,,,Coal-Wood,,Kayseri,Kocasinan,Barsama,"
                    3.550.000 TRY
                  "
129301-50,09-06-2023,For Sale,Apartment,,4 + 1,240 m2,10. Floor,5 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,,,Owner,Condominium,,No,"North, South, East",,,,Kayseri,Melikgazi,Tacettin Veli,"
                    2.275.000 TRY
                  "
134950-6,02-06-2023,For Sale,Apartment,Daire,2 + 1,110 m2,Middle Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, West",2.500 TRY,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    1.650.000 TRY
                  "
129395-66,12-07-2023,For Sale,Apartment,,4 + 1,216 m2,6. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Floor Easement,250 TRY,No,"North, East",,,,Kayseri,Kocasinan,Barbaros,"
                    2.850.000 TRY
                  "
0-40529989,30-07-2023,For Sale,Detached House,Müstakil Ev,4 + 1,700 m2,,8 at Age,Heating Stove,1 Storey,Available,Not Furnished,2,Stacking,,Owner,Land,,,"North, West",,Coal-Wood,,Kayseri,Kocasinan,Saraycık,"
                    2.350.000 TRY
                  "
0-40649409,12-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,9. Floor,23 at Age,Central,10 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, East, West",,Gas,,Kayseri,Kocasinan,Ziyagökalp,"
                    1.300.000 TRY
                  "
0-40773395,27-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,10. Floor,4 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,420 TRY,No,"South, West",5.000 TRY,Gas,,Kayseri,Melikgazi,Gesi Fatih,"
                    2.200.000 TRY
                  "
0-40879149,10-07-2023,For Sale,Apartment,,3 + 1,190 m2,7. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,275 TRY,No,"South, East",,,,Kayseri,Talas,Mevlana,"
                    3.250.000 TRY
                  "
0-40900327,06-08-2023,For Sale,Apartment,Daire,3 + 1,120 m2,5. Floor,9 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,360 TRY,No,"South, West",,,,Kayseri,Melikgazi,Sakarya,"
                    1.500.000 TRY
                  "
0-40946086,28-07-2023,For Sale,Apartment,Dubleks,6 + 1,350 m2,13. Floor,8 at Age,Central Heating (Share Meter),13 Storey,Available,Furnished,3,Stone Building,Second Hand,Owner,Condominium,350 TRY,No,"South, West",15.000 TRY,Gas,,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    3.250.000 TRY
                  "
0-40948953,13-06-2023,For Sale,Apartment,Daire,3 + 1,160 m2,Middle Floor,2 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Owner,Condominium,300 TRY,No,"North, East",,Gas,,Kayseri,Talas,Mevlana,"
                    1.590.000 TRY
                  "
0-41005763,25-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,3. Floor,4 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,,150 TRY,No,East,2.500 TRY,Gas,,Kayseri,Develi,Şehit Üsteğmen Hasan Şahan,"
                    1.800.000 TRY
                  "
91360-201,20-07-2023,For Sale,Apartment,,4 + 3,235 m2,6. Floor,15 at Age,Combi Boiler,6 Storey,Available,Not Furnished,3,,,,,,,,,,,Kayseri,Melikgazi,Altınoluk,"
                    3.250.000 TRY
                  "
0-41021895,04-08-2023,For Sale,Villa,Müstakil Ev,3 + 1,140 m2,,New Property,Combi Boiler,20 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Owner,Floor Easement,,No,,20.000 TRY,Gas,,Kayseri,Hacılar,Yediağaç,"
                    4.600.000 TRY
                  "
0-41054438,01-08-2023,For Sale,Detached House,Daire,6 + 4,209 m2,,20 at Age,Heating Stove,4 Storey,Unknown,Not Furnished,4,Reinforced Concrete,Second Hand,Tenanted,Land,,,"East, West",,Coal-Wood,,Kayseri,Melikgazi,Osmanlı,"
                    2.255.000 TRY
                  "
0-41059731,06-07-2023,For Sale,Detached House,,3 + 1,300 m2,Garden Floor,31 at Age,Heating Stove,1 Storey,Not Available,,1,,,Tenanted,,,No,,,,,Kayseri,Kocasinan,Sancaktepe,"
                    1.050.000 TRY
                  "
0-41058715,06-07-2023,For Sale,Apartment,,4 + 1,200 m2,5. Floor,4 at Age,Central Heating (Share Meter),11 Storey,Available,Not Furnished,2,,,Owner,Condominium,600 TRY,No,"South, West",,,,Kayseri,Kocasinan,Yenişehir,"
                    3.000.000 TRY
                  "
0-41064290,25-07-2023,For Sale,Villa,,4 + 1,295 m2,,New Property,Combi Boiler,1 Storey,Available,Not Furnished,4,,,,,,No,,,,,Kayseri,Talas,Reşadiye,"
                    10.500.000 TRY
                  "
121417-851,22-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,Ground,15 at Age,Central,12 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,250 TRY,No,"South, East",7.000 TRY,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    1.235.000 TRY
                  "
