,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk
30,13596009,20 Temmuz 2023,Satılık,395 M2,5-10,13,Mülk Sahibi Oturuyor,20 Temmuz 2023,Konut,315 M2,5+1,13.Kat,Kombi Doğalgaz,4.950.000TL,Kayseri - Melikgazi - Germir Mahallesi,
31,13596007,20 Temmuz 2023,Satılık,550 M2,0 (Yeni),2,Boş,20 Temmuz 2023,Konut,200 M2,3+1,Düz Giriş,Kombi Doğalgaz,7.750.000TL,Kayseri - Melikgazi - Becen Mahallesi,
32,13595832,30 Temmuz 2023,Satılık,135 M2,1,14,Kiracı Oturuyor,20 Temmuz 2023,Konut,110 M2,2+1,8.Kat,Merkezi (Pay Ölçer),1.460.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
33,13595426,30 Temmuz 2023,Satılık,165 M2,5-10,14,Boş,20 Temmuz 2023,Konut,145 M2,3+1,13.Kat,Merkezi Doğalgaz,1.485.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
34,13582713,18 Temmuz 2023,Satılık,110 M2,5-10,11,Boş,18 Temmuz 2023,Konut,90 M2,2.5+1,8.Kat,Merkezi Doğalgaz,1.295.000TL,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,
35,13580283,19 Temmuz 2023,Satılık,145 M2,11-15,10,Boş,18 Temmuz 2023,Konut,125 M2,3+1,9.Kat,Merkezi Doğalgaz,1.190.000TL,Kayseri - Melikgazi - Tınaztepe Mahallesi,
36,13579777,20 Temmuz 2023,Satılık,175 M2,5-10,12,Mülk Sahibi Oturuyor,18 Temmuz 2023,Konut,140 M2,3+1,6.Kat,Merkezi Doğalgaz,1.620.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
37,13579430,29 Temmuz 2023,Satılık,165 M2,4,11,Boş,18 Temmuz 2023,Konut,130 M2,3+1,10.Kat,Merkezi Doğalgaz,1.650.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
38,13579258,29 Temmuz 2023,Satılık,165 M2,16-20,6,Kiracı Oturuyor,18 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.275.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,
39,13579220,29 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,18 Temmuz 2023,Konut,135 M2,3+1,4.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,
40,13595832,30 Temmuz 2023,Satılık,135 M2,1,14,Kiracı Oturuyor,20 Temmuz 2023,Konut,110 M2,2+1,8.Kat,Merkezi (Pay Ölçer),1.460.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
41,13595426,30 Temmuz 2023,Satılık,165 M2,5-10,14,Boş,20 Temmuz 2023,Konut,145 M2,3+1,13.Kat,Merkezi Doğalgaz,1.485.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
42,13561223,17 Temmuz 2023,Satılık,285 M2,3,3,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,200 M2,9+ Oda,3.Kat,Kombi Doğalgaz,15.000.000TLarrow_downward%6,Kayseri - Melikgazi - Erenköy Mahallesi,
43,13561152,14 Temmuz 2023,Satılık,240 M2,0 (Yeni),3,Boş,14 Temmuz 2023,Konut,185 M2,5+1,Müstakil.Kat,Kombi Doğalgaz,6.500.000TL,Kayseri - Melikgazi - Eğribucak Mahallesi,
44,13560572,14 Temmuz 2023,Satılık,175 M2,0 (Yeni),9,Boş,14 Temmuz 2023,Konut,145 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2.550.000TL,Kayseri - Melikgazi - Altınoluk Mahallesi,
45,13559570,19 Temmuz 2023,Satılık,230 M2,3,4,Boş,13 Temmuz 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2.350.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil
46,13558912,29 Temmuz 2023,Satılık,85 M2,11-15,6,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,80 M2,2+1,3.Kat,Kombi Doğalgaz,1.065.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,
47,13558567,13 Temmuz 2023,Satılık,180 M2,5-10,8,Kiracı Oturuyor,13 Temmuz 2023,Konut,135 M2,3+1,7.Kat,Kombi Doğalgaz,1.545.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,
48,13595832,30 Temmuz 2023,Satılık,135 M2,1,14,Kiracı Oturuyor,20 Temmuz 2023,Konut,110 M2,2+1,8.Kat,Merkezi (Pay Ölçer),1.460.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
49,13595426,30 Temmuz 2023,Satılık,165 M2,5-10,14,Boş,20 Temmuz 2023,Konut,145 M2,3+1,13.Kat,Merkezi Doğalgaz,1.485.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
50,13545827,11 Temmuz 2023,Satılık,165 M2,11-15,9,Boş,11 Temmuz 2023,Konut,135 M2,3+1,4.Kat,Merkezi Doğalgaz,1.550.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,
