,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
1046,12502766,29 Temmuz 2023,Satılık,130 M2,11-15,3,Kiracı Oturuyor,09 Ocak 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz,840.000TL,Kayseri - Kocasinan - General Emir Mahallesi,,,
1047,12486555,19 Temmuz 2023,Satılık,150 M2,11-15,14,Mülk Sahibi Oturuyor,07 Ocak 2023,Konut,130 M2,3+1,3.Kat,Merkezi Doğalgaz,1.615.000TL,Kayseri - Kocasinan - Uğurevler Mahallesi,,,
1048,12478831,05 Haziran 2023,Satılık,190 M2,0 (Yeni),12,Boş,06 Ocak 2023,Konut,150 M2,4+1,11.Kat,Merkezi (Pay Ölçer),1.650.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1049,12476109,05 Haziran 2023,Satılık,170 M2,0 (Yeni),14,Boş,05 Ocak 2023,Konut,120 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Seyrani Mahallesi,,,
1050,12466498,27 Temmuz 2023,Satılık,165 M2,1,7,Boş,04 Ocak 2023,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,1.980.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
1051,12462777,05 Haziran 2023,Satılık,140 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,115 M2,3+1,3.Kat,Doğalgaz Sobalı,775.000TL,Kayseri - Melikgazi - Kılıçaslan Mahallesi,,,
1052,12456033,07 Temmuz 2023,Satılık,175 M2,11-15,14,Kiracı Oturuyor,02 Ocak 2023,Konut,135 M2,3+1,12.Kat,Merkezi Doğalgaz,1.510.000TL,Kayseri - Melikgazi - Battalgazi Mahallesi,,,
1053,12448831,29 Temmuz 2023,Satılık,170 M2,11-15,10,Kiracı Oturuyor,01 Ocak 2023,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1.125.000TL,Kayseri - Kocasinan - Osmangazi Mahallesi,,,
1054,12437020,05 Haziran 2023,Satılık,165 M2,0 (Yeni),12,Boş,30 Aralık 2022,Konut,120 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.730.000TL,Kayseri - Melikgazi - Gülük Mahallesi,,,
1055,12436950,30 Temmuz 2023,Satılık,145 M2,21 Ve Üzeri,7,Kiracı Oturuyor,30 Aralık 2022,Konut,125 M2,3+1,3.Kat,Kombi Doğalgaz,945.000TLarrow_downward%3,Kayseri - Kocasinan - Gevhernesibe Mahallesi,,,
1056,12436949,30 Temmuz 2023,Satılık,265 M2,5-10,12,Boş,30 Aralık 2022,Konut,240 M2,4+1,6.Kat,Merkezi (Pay Ölçer),4.575.000TL,Kayseri - Kocasinan - Mimarsinan Mahallesi,,,
1057,12422621,18 Temmuz 2023,Satılık,160 M2,21 Ve Üzeri,1,Boş,28 Aralık 2022,Konut,145 M2,4+1,Düz Giriş,Isıtma Yok,350.000TL,Kayseri - Kocasinan - Güneşli Mahallesi,Krediye Uygun Değil,,
