Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,Şehir,İlçe,Mahalle
8,4,0,0,380,28,4,5,16900000,0,4,49
8,13,2,0,150,7,2,6,1535000,0,4,109
7,6,0,0,85,4,1,6,1250000,0,4,15
0,7,0,0,145,7,1,7,1850000,0,3,113
0,11,0,0,140,7,1,7,1575000,0,4,37
8,14,2,0,145,7,1,7,1900000,0,4,15
2,9,0,0,116,7,1,5,1150000,0,4,31
0,12,0,0,125,7,1,6,415000,0,3,2
0,12,0,0,95,4,1,7,300000,0,4,135
5,2,0,0,300,7,4,9,1600000,0,4,67
0,3,0,0,350,7,8,5,22500000,0,4,19
0,14,0,0,118,7,1,7,205000,0,4,48
0,3,0,0,260,16,8,5,14500000,0,4,34
0,3,0,0,216,16,8,5,5750000,0,4,49
1,11,1,0,140,7,1,6,3490000,0,4,127
0,3,0,0,280,23,8,10,18500000,0,4,34
0,9,0,0,110,7,1,6,1675000,0,3,137
3,3,0,0,55,1,8,5,675000,0,4,31
5,8,0,0,135,7,1,7,1449000,0,3,96
5,8,0,0,135,7,1,7,1149000,0,3,96
5,3,0,0,120,4,1,5,920000,0,3,87
5,10,0,0,240,11,1,6,4350000,0,4,5
0,2,0,0,165,16,7,5,9100000,0,4,19
0,14,0,0,175,11,1,6,2350000,0,3,100
0,12,0,0,175,11,1,6,3400000,0,4,48
0,9,0,0,125,7,1,6,1675000,0,3,35
8,12,0,0,130,7,1,7,1570000,0,4,124
0,10,0,0,85,4,1,7,300000,0,3,2
3,11,0,0,135,7,1,7,1270000,0,4,0
8,5,0,0,250,11,7,7,2350000,0,4,47
8,11,0,0,220,14,2,6,5250000,0,3,33
1,14,0,0,95,4,1,7,1450000,0,4,135
8,13,1,0,145,7,1,7,1950000,0,4,124
5,5,1,0,140,7,1,5,1400000,0,3,43
0,3,0,0,289,20,8,5,10500000,0,4,19
8,2,2,0,280,11,8,9,12850000,0,4,39
7,1,2,0,80,4,8,9,2250000,0,4,74
0,12,0,0,145,11,1,6,3700000,0,3,6
6,4,2,0,210,11,8,7,2200000,0,4,124
6,5,2,0,85,4,1,7,1010000,0,4,124
3,12,0,0,130,7,1,7,1300000,0,3,20
2,12,0,0,130,7,1,5,1380000,0,4,135
3,9,1,0,100,7,1,7,1300000,0,4,135
3,3,0,0,90,4,1,0,775000,0,4,11
0,10,0,0,185,7,1,6,2400000,0,3,65
0,12,0,0,129,7,1,6,2080000,0,4,48
2,12,0,0,130,7,1,6,1500000,0,4,38
2,13,0,0,138,7,1,6,2300000,0,4,127
0,2,0,0,190,16,7,5,11000000,0,4,19
6,10,0,0,175,11,1,6,2590000,0,4,127
0,10,0,0,75,4,1,3,1525000,0,3,99
4,15,1,0,105,7,1,3,1650000,0,4,124
8,15,0,0,130,7,1,3,1750000,0,4,135
4,17,0,0,106,4,1,6,2100000,0,3,96
3,10,1,0,140,7,1,7,1500000,0,4,109
0,10,0,0,145,7,1,7,1350000,0,3,36
0,12,0,0,120,7,1,7,305000,0,4,110
0,12,0,0,120,7,1,7,375000,0,3,115
0,12,0,0,120,7,1,7,375000,0,4,124
0,13,0,0,128,7,1,6,2200000,0,3,92
0,12,0,0,110,4,1,7,260000,0,4,110
0,12,0,0,110,4,1,7,276000,0,3,115
0,12,0,0,100,4,1,7,275000,0,4,124
0,14,0,0,112,7,1,7,395000,0,4,124
8,5,2,0,190,11,1,5,2150000,0,3,88
0,7,0,0,135,9,1,6,1840000,0,4,7
5,9,1,0,130,7,8,7,1000000,0,4,79
8,13,1,0,135,7,1,7,1475000,0,4,48
3,4,2,0,150,7,1,5,1179000,0,3,16
1,9,0,0,135,7,1,6,1470000,0,4,15
7,13,2,0,155,7,1,6,1999000,0,4,97
2,7,0,0,80,7,1,5,845000,0,3,137
8,2,2,0,120,7,4,7,1970000,0,4,17
8,3,0,0,110,4,3,7,3250000,0,4,30
0,14,0,0,90,4,1,7,290000,0,4,48
0,10,0,0,85,4,1,7,295000,0,3,2
8,12,1,0,200,11,1,7,3550000,0,4,127
8,3,0,0,60,1,1,5,680000,0,4,31
5,5,1,0,80,4,4,5,660000,0,3,86
2,11,1,0,135,7,1,7,1120000,0,4,15
8,12,1,0,145,7,1,7,1795000,0,4,124
8,11,0,0,135,7,1,7,1745000,0,4,135
8,12,0,0,140,7,1,7,2230000,0,3,65
0,12,0,0,135,11,1,7,625000,0,4,124
