Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
130 M2,21 Ve Üzeri,4,Kiracı Oturuyor,Konut,110 M2,3+1,1.Kat,Kombi Doğalgaz,1050000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
125 M2,2,3,Kiracı Oturuyor,Konut,100 M2,2+1,Yüksek Giriş,Merkezi Doğalgaz,1390000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
187 M2,5-10,14,Mülk Sahibi Oturuyor,Konut,155 M2,3+1,3.Kat,Merkezi Doğalgaz,2599000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
95 M2,1,6,Kiracı Oturuyor,Konut,78 M2,2+1,3.Kat,Kombi Doğalgaz,1285000,Kayseri - Talas - Tablakaya Mahallesi,Kayseri,Talas,Tablakaya Mahallesi
220 M2,11-15,13,Mülk Sahibi Oturuyor,Konut,200 M2,4+1,Yüksek Giriş,Merkezi (Pay Ölçer),1990000,Kayseri - Talas - Yenidoğan Mahallesi,Kayseri,Talas,Yenidoğan Mahallesi
220 M2,0 (Yeni),2,Boş,Konut,200 M2,3.5+1,Villa Tipi,Isıtma Yok,4000000,Kayseri - Hacılar - Akyazı Mahallesi,Kayseri,Hacılar,Akyazı Mahallesi
340 M2,21 Ve Üzeri,2,Boş,Konut,170 M2,7+1,Müstakil.Kat,Sobalı,4900000,Kayseri - Talas - Kiçiköy Mahallesi,Kayseri,Talas,Kiçiköy Mahallesi
160 M2,0 (Yeni),11,Boş,Konut,135 M2,3+1,9.Kat,Merkezi (Pay Ölçer),2400000,Kayseri - Talas - Bahçelievler Mahallesi,Kayseri,Talas,Bahçelievler Mahallesi
140 M2,0 (Yeni),5,Boş,Konut,115 M2,3+1,2.Kat,Kombi Doğalgaz,1350000,Kayseri - Develi - Harman Mahallesi,Kayseri,Develi,Harman Mahallesi
145 M2,0 (Yeni),14,Boş,Konut,105 M2,3+1,2.Kat,Merkezi Doğalgaz,345000,Kayseri - Talas - Mevlana Mahallesi,Kayseri,Talas,Mevlana Mahallesi
310 M2,11-15,3,Boş,Konut,260 M2,6+2,Bahçe Dublex,Merkezi Doğalgaz,6150000,Kayseri - Talas - Harman Mahallesi,Kayseri,Talas,Harman Mahallesi
