İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13358352,03 Ağustos 2023,Satılık,200 M2,5-10,13,Kiracı Oturuyor,İkinci El,Eşyalı,1,05 Haziran 2023,Konut,165 M2,3+1,11.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Alpaslan Mahallesi,"2,800,000",
13358290,24 Temmuz 2023,Satılık,185 M2,1,12,Boş,Sıfır,,2,05 Haziran 2023,Konut,135 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Beyazşehir Mahallesi,"1,900,000",
13381581,03 Ağustos 2023,Satılık,155 M2,16-20,10,Boş,,,2,09 Haziran 2023,Konut,130 M2,3+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Sahabiye Mahallesi,"1,870,000","kayseri sahabiye mh 4 oda satılık daire ev bakımlı asansörlü 4 kt mrkz isi 20 senelik bina tapulu krediye uygun, Araç takas olur"
13358368,06 Haziran 2023,Satılık,165 M2,16-20,5,Kiracı Oturuyor,İkinci El,Eşyalı,1,05 Haziran 2023,Konut,130 M2,3+1,Çatı Katı,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Tınaztepe Mahallesi,"998,000",
13346421,18 Temmuz 2023,Satılık,175 M2,5-10,9,Boş,İkinci El,,2,03 Haziran 2023,Konut,135 M2,3+1,8.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,"1,599,000",
13347196,26 Temmuz 2023,Satılık,190 M2,5-10,14,Boş,,Boş,2,03 Haziran 2023,Konut,145 M2,4+1,7.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Yenidoğan Mahallesi,"1,670,000",
13346677,03 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,03 Haziran 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,000,000",
13347209,26 Temmuz 2023,Satılık,185 M2,0 (Yeni),13,Boş,,Boş,2,03 Haziran 2023,Konut,150 M2,4+1,8.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Germir Mahallesi,"2,789,000",
13347587,12 Haziran 2023,Satılık,175 M2,5-10,14,Boş,,,2,03 Haziran 2023,Konut,130 M2,3+1,11.Kat,Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,600,000","TALAS MEVLANA MAHALLESİ HEVES CADDESİ ÜZERİNDE PAZAR YERİ ARKASINDA HARİKA KONUMLU, 3+1 175M2 11.KAT KUZEY BATI CEPHE ÖNÜ AÇIK MANZARALI ÇİFT BANYO ÇİFT BALKONLU FIRSAT DAİRESİ"
13347643,15 Haziran 2023,Satılık,175 M2,0 (Yeni),13,Boş,,Boş,2,03 Haziran 2023,Konut,150 M2,3+1,11.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Yeşilyurt Mahallesi,"1,900,000",
