,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk
193,13570748,16 Temmuz 2023,Satılık,100 M2,0 (Yeni),9,Boş,16 Temmuz 2023,Konut,80 M2,2+1,4.Kat,Kombi Doğalgaz,1.345.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,
194,13570531,15 Temmuz 2023,Satılık,105 M2,11-15,5,Boş,15 Temmuz 2023,Konut,90 M2,2+1,3.Kat,Kombi Doğalgaz,1.100.000TL,Kayseri - Kocasinan - Yavuz Selim Mahallesi,,
195,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
196,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
197,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
198,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
199,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
200,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
201,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
202,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
