Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
165,0 (Yeni),7,Boş,Sıfır,Boş,2,Konut,130,3+1,7.Kat,Kombi Doğalgaz,Hayır,Daire,1575000,,Kayseri,Kocasinan,Şeker Mahallesi
150,5-10,5,Kiracı Oturuyor,İkinci El,Boş,2,Konut,125,3+1,3.Kat,Kombi Doğalgaz,Evet,Daire,1350000,,Kayseri,Melikgazi,Şirintepe Mahallesi
100,0 (Yeni),12,Boş,,Boş,1,Konut,85,2+1,6.Kat,Merkezi Doğalgaz,Hayır,Kooperatif,295000,,Kayseri,Kocasinan,Ahi Evran Mahallesi
165,5-10,11,Kiracı Oturuyor,,,1,Konut,125,3+1,10.Kat,Merkezi Doğalgaz,Hayır,Daire,1520000,,Kayseri,Melikgazi,Bahçelievler Mahallesi
130,0 (Yeni),10,Boş,,Boş,2,Konut,110,3+1,5.Kat,Merkezi Doğalgaz,Hayır,Kooperatif,410000,,Kayseri,Kocasinan,Ahi Evran Mahallesi
145,16-20,10,Boş,,Boş,1,Konut,115,3+1,10.Kat,Kombi Doğalgaz,Hayır,Daire,1000000,,Kayseri,Kocasinan,Gevhernesibe Mahallesi
90,0 (Yeni),9,Boş,,Boş,1,Konut,70,1+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1050000,​,Kayseri,Kocasinan,Şeker Mahallesi
180,0 (Yeni),14,Boş,Yapım Aşamasında,Boş,2,Konut,130,3+1,4.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1850000,,Kayseri,Talas,Mevlana Mahallesi
200,2,2,Boş,İkinci El,,1,Konut,170,3+1,,Sobalı,Hayır,Müstakil Ev,1200000,,Kayseri,Develi,Zile Mahallesi
270,4,14,Kiracı Oturuyor,,Boş,2,Konut,250,4+1,11.Kat,Merkezi (Pay Ölçer),Hayır,Daire,3000000,,Kayseri,Kocasinan,Alsancak Mahallesi
187,5-10,14,Mülk Sahibi Oturuyor,,Boş,2,Konut,145,3+1,12.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2200000,,Kayseri,Talas,Mevlana Mahallesi
132,21 Ve Üzeri,1,Boş,,Boş,1,Konut,120,3+1,,Sobalı,Hayır,Müstakil Ev,590000,,Kayseri,Kocasinan,Saraycık Mahallesi
300,21 Ve Üzeri,2,Kiracı Oturuyor,,Boş,1,Konut,200,3+1,,Kombi Doğalgaz,Hayır,Müstakil Ev,1690000,,Kayseri,Melikgazi,Selçuklu Mahallesi
